"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2026-01-03 14:00:00",67.6922836302136,18.41218179704754,99.87593846547888,98.57740807459999,57.49999999999999
"2026-01-03 14:30:00",66.84833233418931,17.273044286876672,99.88354223694952,98.83437533114338,
"2026-01-03 15:00:00",68.94779737506724,21.120539346739513,99.87833965646962,98.64098760199215,60
"2026-01-03 15:30:00",70.13638595391022,21.562245728234338,99.8819414429557,98.65158418989085,
"2026-01-03 16:00:00",70.45992711373084,21.58549343252354,99.88074084746034,98.66218077778956,60
"2026-01-03 16:30:00",70.94433621170015,19.77217249796583,99.87914005346651,98.47144219561302,
"2026-01-03 17:00:00",71.33014696057258,19.53969545507381,99.87713906097426,98.55091660485324,60
"2026-01-03 17:30:00",72.39244727716222,19.179356038591187,99.87673886247578,98.38666949242344,
"2026-01-03 18:00:00",73.80990575526319,18.435429501336746,99.8775392594727,98.59330295644803,60
"2026-01-03 18:30:00",75.3876797061421,16.933627804254332,99.8739374729866,98.54296916392923,
"2026-01-03 19:00:00",78.66575178856714,18.016970824131118,99.87313707598969,98.37342375755007,55.00000000000001
"2026-01-03 19:30:00",78.4712705125037,17.366035104033475,99.8703356865005,98.22242237999365,
"2026-01-03 20:00:00",76.90150614092775,16.017668255259792,99.87593846547888,98.3707746105754,37.5
"2026-01-03 20:30:00",73.20183764839372,16.180402185284205,99.87273687749123,98.1641411465508,
"2026-01-03 21:00:00",66.49484834230769,16.842961757526446,99.87593846547888,98.21977323301897,35
"2026-01-03 21:30:00",57.644538815996995,16.935952574683252,99.87833965646962,97.92571791883013,
"2026-01-03 22:00:00",49.75808477171862,17.796117633383705,99.87513806848197,97.90187559605808,22.5
"2026-01-03 22:30:00",41.854705169660974,18.20295245844473,99.87994045046344,97.61841686976794,
"2026-01-03 23:00:00",35.44725821893424,16.982447983261657,99.87513806848197,97.55483734237575,17.5
"2026-01-03 23:30:00",28.6771921814181,17.145181913286063,99.87633866397734,97.31641411465507,
"2026-01-04 00:00:00",23.85564489905398,16.808090201092643,99.87513806848197,97.0276570944156,15
"2026-01-04 00:30:00",20.23586448119955,17.656631407648497,99.72306263906897,97.05944685811168,
"2026-01-04 01:00:00",17.438957969495835,18.737649657096362,99.8623317165314,96.43424817208859,15
"2026-01-04 01:30:00",16.033574751992987,17.7031268162269,99.87513806848197,96.33358058705099,
"2026-01-04 02:00:00",16.162570975487313,17.226548878298267,99.87673886247578,96.34417717494966,15
"2026-01-04 02:30:00",17.40357866604564,18.28431942345693,99.87994045046344,95.94945427572323,
"2026-01-04 03:00:00",20.913535709960986,17.598512146925493,99.87513806848197,95.85143583766028,22.5
"2026-01-04 03:30:00",25.587655513696095,17.993723119841917,99.87673886247578,95.89647133622974,
"2026-01-04 04:00:00",31.355836855601055,25.793327908869003,99.88434263394645,96.35742290982304,62.5
"2026-01-04 04:30:00",38.50959746410722,40.77647332325933,99.87593846547888,96.54816149199958,
"2026-01-04 05:00:00",49.67021519944479,41.74125305126119,99.87273687749123,96.77068983787221,77.5
"2026-01-04 05:30:00",56.622799597239194,38.32384052074858,99.88514303094334,96.84221680618842,
"2026-01-04 06:00:00",64.49245351656913,36.99872137626409,99.89074580992173,97.5309950196037,75
"2026-01-04 06:30:00",70.8434568979461,35.87120771823783,99.8819414429557,97.63961004556533,
"2026-01-04 07:00:00",77.48373267558554,37.37068464489132,99.88354223694952,97.991946593197,72.5
"2026-01-04 07:30:00",81.97915819336987,36.44077647332326,99.87994045046344,98.21977323301897,
"2026-01-04 08:00:00",86.13786239595001,35.30163896315239,99.88394243544798,98.71251457030836,72.5
"2026-01-04 08:30:00",85.98371564039763,34.37173079158433,99.88234164145416,98.69397054148565,
"2026-01-04 09:00:00",84.61071723099795,34.05788678368011,99.88794442043255,98.942990357105,70
"2026-01-04 09:30:00",85.2799743564308,36.13855631756365,99.88354223694952,98.9535869450037,
"2026-01-04 10:00:00",88.03568492952257,35.650354527490414,99.8775392594727,99.00127159054784,70
"2026-01-04 10:30:00",88.86253460875764,28.757410205742183,99.87113608349742,99.09399173466143,
"2026-01-04 11:00:00",87.48069700511847,28.09485063349994,99.8703356865005,99.23439652431918,65
"2026-01-04 11:30:00",84.67572660243314,26.76973148901546,99.86633370151596,99.15227296810427,
"2026-01-04 12:00:00",80.9556829964583,24.154364756480298,99.8651331060206,99.23969481826852,67.5
"2026-01-04 12:30:00",76.93990426402199,25.700337091712193,99.86353231202676,99.19465931969907,
"2026-01-04 13:00:00",72.97518505353003,24.561199581541327,99.83751940962719,99.23704567129384,70
"2026-01-04 13:30:00",70.67935666882855,26.188538881785423,99.87473786998352,99.32446752145809,
"2026-01-04 14:00:00",70.07156572950285,22.957107985586422,99.86953528950359,99.42513510649572,67.5
"2026-01-04 14:30:00",70.11614191840685,21.58549343252354,99.87433767148505,99.42248595952104,
"2026-01-04 15:00:00",73.1152602482163,22.07369522259677,99.87433767148505,99.42778425347039,70
"2026-01-04 15:30:00",74.08957111491767,21.062420086016505,99.87513806848197,98.9747801208011,
"2026-01-04 16:00:00",74.11239949461388,20.818319190979892,99.8687348925067,98.60389954434673,62.5
"2026-01-04 16:30:00",74.95239750809007,22.713007090549812,99.8703356865005,98.89530571156088,
"2026-01-04 17:00:00",75.68556283162836,23.038474950598626,99.87193648049431,98.97213097382644,62.5
"2026-01-04 17:30:00",78.33881725448045,20.585842148087877,99.86913509100513,98.86881424181414,
"2026-01-04 18:00:00",80.28500447273034,20.59746600023248,99.87153628199586,98.89795485853556,62.5
"2026-01-04 18:30:00",82.21975502857391,19.516447750784614,99.8723366789928,99.22909823036981,
"2026-01-04 19:00:00",80.98426433307533,20.260374288039056,99.87273687749123,98.75225177492847,55.00000000000001
"2026-01-04 19:30:00",78.34207203598558,19.249099151458797,99.87273687749123,98.69397054148565,
"2026-01-04 20:00:00",75.74051760298647,18.33081483203534,99.8739374729866,98.47938963653704,37.5
"2026-01-04 20:30:00",72.13750545298197,17.7496222248053,99.86953528950359,98.36282716965137,
"2026-01-04 21:00:00",63.84546482659436,17.865860746251307,99.8739374729866,98.38402034544877,35
"2026-01-04 21:30:00",54.215662762062614,17.38928280832268,99.87273687749123,98.40256437427148,
"2026-01-04 22:00:00",46.562329687953536,16.61048471463443,99.87353727448816,98.33368655292996,22.5
"2026-01-04 22:30:00",38.33207736033329,16.366383819597814,99.8703356865005,98.14824626470276,
"2026-01-04 23:00:00",32.588569035591725,17.296291991165873,99.87833965646962,98.17208858747483,17.5
"2026-01-04 23:30:00",26.637534114752377,16.645356271068234,99.87353727448816,97.61576772279325,
"2026-01-05 00:00:00",22.145494456410646,15.029640822968734,99.87193648049431,97.35350217230052,15
"2026-01-05 00:30:00",18.41476888844598,16.92432872253865,99.8703356865005,97.35880046624987,
"2026-01-05 01:00:00",15.92710725011483,17.44740206904568,99.87193648049431,97.09123662180778,12.5
"2026-01-05 01:30:00",14.72080466828269,16.226897593862606,99.8703356865005,96.88460315778319,
"2026-01-05 02:00:00",14.70479859769468,16.157154480995004,99.87193648049431,96.66737310585992,15
"2026-01-05 02:30:00",16.143486146448026,17.156805765430665,99.8703356865005,96.61439016636642,
"2026-01-05 03:00:00",19.495532263334667,17.296291991165873,99.87193648049431,96.54021405107557,22.5
"2026-01-05 03:30:00",24.249565436860888,18.946878995699176,99.8703356865005,96.52696831620217,
"2026-01-05 04:00:00",30.425248220592145,24.63094269440893,99.87833965646962,96.50842428737947,60
"2026-01-05 04:30:00",37.194992127470044,39.34673950947344,99.86793449550977,96.86340998198581,
"2026-01-05 05:00:00",46.77076266524664,39.66058351737766,99.86793449550977,97.22104482356681,77.5
"2026-01-05 05:30:00",52.810099764094176,38.77717075438801,99.86913509100513,97.47536293313553,
"2026-01-05 06:00:00",59.490436616156515,34.38335464372893,99.87473786998352,97.66875066228675,72.5
"2026-01-05 06:30:00",64.07181030248869,36.068813204696035,99.87914005346651,98.02638550386776,
"2026-01-05 07:00:00",69.27943615268481,34.673950947343954,99.8819414429557,98.41845925611953,75
"2026-01-05 07:30:00",73.0051671856008,35.906079274671626,99.88714402343562,98.60654869132141,
"2026-01-05 08:00:00",76.2012612274557,30.54748343601069,99.89434759640781,98.70191798240967,77.5
"2026-01-05 08:30:00",76.60534592355542,31.50063931186795,99.90915494085066,98.95093779802903,
"2026-01-05 09:00:00",76.51643324704219,34.62745553876555,99.9051529558661,98.95888523895306,72.5
"2026-01-05 09:30:00",77.55185260863638,33.964895966523315,99.91075573484449,99.03835964819329,
"2026-01-05 10:00:00",80.1015722164333,30.29175868882948,99.9087547423522,99.09399173466143,70
"2026-01-05 10:30:00",81.7647924607123,27.26955713123329,99.90835454385376,98.87411253576349,
"2026-01-05 11:00:00",79.49776828647104,26.14204347320702,99.90995533784756,98.98802585567448,67.5
"2026-01-05 11:30:00",76.45083771937698,24.723933511565736,99.90955513934912,99.17876443785102,
"2026-01-05 12:00:00",73.46127959336422,23.631291409973265,99.90635355136148,99.03835964819329,67.5
"2026-01-05 12:30:00",70.24907646671453,24.258979425781703,99.9087547423522,99.30592349263539,
"2026-01-05 13:00:00",67.06524120535701,25.491107753109382,99.90835454385376,99.38804704885027,67.5
"2026-01-05 13:30:00",64.33690409584617,22.631640125537604,99.91395732283212,99.42513510649572,
"2026-01-05 14:00:00",63.515648195907715,22.771126351272812,99.90635355136148,99.6105753947229,70
"2026-01-05 14:30:00",64.12657405710212,21.29489712890852,99.90755414685684,99.60527710077356,
"2026-01-05 15:00:00",66.45442209780309,21.77147506683715,99.90635355136148,99.53639927943203,67.5
"2026-01-05 15:30:00",68.05046812619243,22.22480530047658,99.90955513934912,99.32446752145809,
"2026-01-05 16:00:00",69.03047391668032,20.13251191444845,99.90955513934912,99.43308254741974,65
"2026-01-05 16:30:00",69.9068212750649,20.992676973148903,99.91115593334294,99.43043340044507,
"2026-01-05 17:00:00",71.60009858391273,20.388236661629666,99.9079543453553,99.21850164247114,65
"2026-01-05 17:30:00",72.60358444030655,21.38788794606533,99.90635355136148,99.27413372893929,
"2026-01-05 18:00:00",73.51373615335056,21.341392537486925,99.90635355136148,99.3642047260782,62.5
"2026-01-05 18:30:00",75.39503948693023,20.31849354876206,99.91115593334294,99.3350641093568,
"2026-01-05 19:00:00",76.65964523331404,19.725677089387425,99.91755910931822,99.31652008053406,57.49999999999999
"2026-01-05 19:30:00",74.5634368436581,19.865163315122633,99.9035521618723,99.10988661650948,
